rowid	repo	accession	total citations	date made public	article reference	PubMed ID	Data Collection Article DOI	in ISI Web of Science? (Y/N)	How many merged citation records?	WoS Cited by how many?	COMMENTS	Dropbox filenames (for multiple files or multiple citations)	Google Scholar Search Term	Search results	Imported to Mendeley?														
837	Journal Archives	Eric Neumayer. Inequality and Violent Crime: Evidence from Data on Robbery and Violent Theft. Journal of Peace Research. vol. 42, no. 1	9	180	Journal of Peace Research	vol. 42, no. 1	Eric Neumayer	Inequality and Violent Crime: Evidence from Data on Robbery and Violent Theft	Eric Neumayer â€“ Inequality and Violent Crime: Evidence from Data on Robbery and Violent Theft	Eric Neumayer. Inequality and Violent Crime: Evidence from Data on Robbery and Violent Theft. Journal of Peace Research. vol. 42, no. 1	y	1	9	ID	url	article reference	PMID	in ISI Web of Science? (Y/N)	How many merged citation records?	WoS Cited by how many?	COMMENTS	Dropbox filenames (for multiple files or multiple citations)	Google Scholar query	Relevant GS Results	Imported to Mendeley?	Link ot GS results			
0	http://www.pangaea.de/search?count=1&minlat=&minlon=&maxlat=&maxlon=&mindate=&maxdate=&env=All&q=%40supplement+year:2005+citation:year:2005&offset=0	doi:10.1594/PANGAEA.425284	40	http://doi.pangaea.de/10.1594/PANGAEA.425284	Armand, Leanne K; Crosta, Xavier; Romero, Oscar E; Pichon, Jean-Jacques (2005): The biogeography of major diatom taxa in Southern Ocean sediments: 1. Ice related species. Palaeogeography, Palaeoclimatology, Palaeoecology, 223(1-2), 93-126, doi:10.1016/j.palaeo.2005.02.015	y	1	40							http://doi.pangaea.de/10.1594/PANGAEA.425284 OR 10.1594/PANGAEA.425284 OR doi:10.1594/PANGAEA.425284 -site:scientificcommons.org	0													
1	http://www.pangaea.de/search?count=1&minlat=&minlon=&maxlat=&maxlon=&mindate=&maxdate=&env=All&q=%40supplement+year:2005+citation:year:2005&offset=1	doi:10.1594/PANGAEA.425285	28	http://doi.pangaea.de/10.1594/PANGAEA.425285	Crosta, Xavier; Romero, Oscar E; Armand, Leanne K; Pichon, Jean-Jacques (2005): The biogeography of major diatom taxa in Southern Ocean sediments: 2. Open ocean related species. Palaeogeography, Palaeoclimatology, Palaeoecology, 223(1-2), 66-92, doi:10.1016/j.palaeo.2005.03.028	y	1	28							http://doi.pangaea.de/10.1594/PANGAEA.425285 OR 10.1594/PANGAEA.425285 OR doi:10.1594/PANGAEA.425285 -site:scientificcommons.org	0													
2	http://www.pangaea.de/search?count=1&minlat=&minlon=&maxlat=&maxlon=&mindate=&maxdate=&env=All&q=%40supplement+year:2005+citation:year:2005&offset=2	doi:10.1016/j.palaeo.2005.03.027	11	http://doi.pangaea.de/10.1594/PANGAEA.425286	Romero, Oscar E; Armand, Leanne K; Crosta, Xavier; Pichon, Jean-Jacques (2005): The biogeography of major diatom taxa in Southern Ocean sediments: 3. Subantarctic species. Palaeogeography, Palaeoclimatology, Palaeoecology, 223(1-2), 49-65,	y	1	11							http://doi.pangaea.de/10.1594/PANGAEA.425286 OR 10.1594/PANGAEA.425286 OR doi:10.1594/PANGAEA.425286 -site:scientificcommons.org	0													
3	http://www.pangaea.de/search?count=1&minlat=&minlon=&maxlat=&maxlon=&mindate=&maxdate=&env=All&q=%40supplement+year:2005+citation:year:2005&offset=3	doi:10.1073/pnas.0505267102	81	http://doi.pangaea.de/10.1594/PANGAEA.587450	Mosbrugger, Volker; Utescher, Torsten; Dilcher, David (2005): Cenozoic continental climatic evolution of Central Europe. Proceedings of the National Academy of Sciences (PNAS), 102(42), 14964 - 14969	y	3	81							http://doi.pangaea.de/10.1594/PANGAEA.587450 OR 10.1594/PANGAEA.587450 OR doi:10.1594/PANGAEA.587450 -site:scientificcommons.org	1	http://scholar.google.com/scholar?hl=en&q=http%3A%2F%2Fdoi.pangaea.de%2F10.1594%2FPANGAEA.587450+OR+10.1594%2FPANGAEA.587450+OR+doi%3A10.1594%2FPANGAEA.587450+-site%3Ascientificcommons.org&btnG=Search&as_sdt=0%2C48&as_ylo=&as_vis=0												
4	http://www.pangaea.de/search?count=1&minlat=&minlon=&maxlat=&maxlon=&mindate=&maxdate=&env=All&q=%40supplement+year:2005+citation:year:2005&offset=4	doi:10.1016/j.palaeo.2005.06.005	22	http://doi.pangaea.de/10.1594/PANGAEA.693988	Boulay, Sebastien; Colin, C; Trentesaux, A; Frank, Norbert; Liu, Z (2005): Sediment sources and East Asian monsoon intensity over the last 450 ky. Mineralogical and geochemical investigations on South China Sea sediments. Palaeogeography, Palaeoclimatology, Palaeoecology, 228(3-4), 260-277	y	2	22							http://doi.pangaea.de/10.1594/PANGAEA.693988 OR 10.1594/PANGAEA.693988 OR doi:10.1594/PANGAEA.693988 -site:scientificcommons.org	0													
5	http://www.pangaea.de/search?count=1&minlat=&minlon=&maxlat=&maxlon=&mindate=&maxdate=&env=All&q=%40supplement+year:2005+citation:year:2005&offset=5	doi:10.1016/j.palaeo.2005.05.006	24	http://doi.pangaea.de/10.1594/PANGAEA.694021	Raffi, Isabella; Backman, Jan; PÃ_like, Heiko (2005): Changes in calcareous nannofossil assemblages across the Paleocene/Eocene transition from the paleo-equatorial Pacific Ocean. Palaeogeography, Palaeoclimatology, Palaeoecology, 226(1-2), 93-126,	y	1	24							http://doi.pangaea.de/10.1594/PANGAEA.694021 OR 10.1594/PANGAEA.694021 OR doi:10.1594/PANGAEA.694021 -site:scientificcommons.org	0													
6	http://www.pangaea.de/search?count=1&minlat=&minlon=&maxlat=&maxlon=&mindate=&maxdate=&env=All&q=%40supplement+year:2005+citation:year:2005&offset=6	doi:10.1016/j.palaeo.2005.03.031	12	http://doi.pangaea.de/10.1594/PANGAEA.694032	Alegret, Laia; Thomas, Ellen (2005): Cretaceous/Paleogene boundary bathyal paleo-environments in the central North Pacific (DSDP Site 465), the Northwestern Atlantic (ODP Site 1049), the Gulf of Mexico and the Tethys: The benthic foraminiferal record. Palaeogeography, Palaeoclimatology, Palaeoecology, 224(1-3), 53-82,	y	1	12							http://doi.pangaea.de/10.1594/PANGAEA.694032 OR 10.1594/PANGAEA.694032 OR doi:10.1594/PANGAEA.694032 -site:scientificcommons.org	0													
7	http://www.pangaea.de/search?count=1&minlat=&minlon=&maxlat=&maxlon=&mindate=&maxdate=&env=All&q=%40supplement+year:2005+citation:year:2005&offset=7	doi:10.1016/j.palaeo.2005.04.018	7	http://doi.pangaea.de/10.1594/PANGAEA.694035	Zheng, Fan; Li, Qianyu; Li, Baohua; Chen, Muhong; Tu, Xia; Tian, Jun; Jian, Zhimin (2005): A millennial scale planktonic foraminifer record of the mid-Pleistocene climate transition from the northern South China Sea. Palaeogeography, Palaeoclimatology, Palaeoecology, 223(3-4), 349-363	y	1	7							http://doi.pangaea.de/10.1594/PANGAEA.694035 OR 10.1594/PANGAEA.694035 OR doi:10.1594/PANGAEA.694035 -site:scientificcommons.org	0													
8	http://www.pangaea.de/search?count=1&minlat=&minlon=&maxlat=&maxlon=&mindate=&maxdate=&env=All&q=%40supplement+year:2005+citation:year:2005&offset=8	doi:10.1016/j.palaeo.2005.02.001	7	http://doi.pangaea.de/10.1594/PANGAEA.694036	Denison, SM; Maslin, Mark A; Boot, C; Pancost, Richard D; Ettwein, VJ (2005): Precession-forced changes in South West African vegetation during Marine Isotope Stages 101-100 (~2.56-2.51 Ma). Palaeogeography, Palaeoclimatology, Palaeoecology, 220(3-4), 375-386	y	2	7							http://doi.pangaea.de/10.1594/PANGAEA.694036 OR 10.1594/PANGAEA.694036 OR doi:10.1594/PANGAEA.694036 -site:scientificcommons.org	0													
9	http://www.pangaea.de/search?count=1&minlat=&minlon=&maxlat=&maxlon=&mindate=&maxdate=&env=All&q=%40supplement+year:2005+citation:year:2005&offset=9	doi:10.1016/j.palaeo.2004.12.026	8	http://doi.pangaea.de/10.1594/PANGAEA.694040	Udeze, Chioma; Oboh-Ikuenobe, Francisca E (2005): Neogene palaeoceanographic and palaeoclimatic events inferred from palynological data: Cape Basin off South Africa, ODP Leg 175. Palaeogeography, Palaeoclimatology, Palaeoecology, 219(3-4), 199-223,	y	1	8							http://doi.pangaea.de/10.1594/PANGAEA.694040 OR 10.1594/PANGAEA.694040 OR doi:10.1594/PANGAEA.694040 -site:scientificcommons.org	0													
10	http://www.pangaea.de/search?count=1&minlat=&minlon=&maxlat=&maxlon=&mindate=&maxdate=&env=All&q=%40supplement+year:2005+citation:year:2005&offset=10	doi:10.1016/j.palaeo.2004.12.001	33	http://doi.pangaea.de/10.1594/PANGAEA.694041	Westerhold, Thomas; Bickert, Torsten; RÃ¶hl, Ursula (2005): Middle to late Miocene oxygen isotope stratigraphy of ODP site 1085 (SE Atlantic): new constrains on Miocene climate variability and sea-level fluctuations. Palaeogeography, Palaeoclimatology, Palaeoecology, 217(3-4), 205-222	y	1	33							http://doi.pangaea.de/10.1594/PANGAEA.694041 OR 10.1594/PANGAEA.694041 OR doi:10.1594/PANGAEA.694041 -site:scientificcommons.org	0													
11	http://www.pangaea.de/search?count=1&minlat=&minlon=&maxlat=&maxlon=&mindate=&maxdate=&env=All&q=%40supplement+year:2005+citation:year:2005&offset=11	doi:10.1594/PANGAEA.70519	4	http://doi.pangaea.de/10.1594/PANGAEA.705195	Hayward, Bruce W; Grenfell, Hugh R; Sabaa, Ashwaq T; Sikes, Elisabeth L (2005): Deep-sea benthic foraminiferal record of the Middle Pleistocene Climate Transition in the South-west Pacific. In: M. J. Head and P. L. Gibbard (eds.). Early Middle Pleistocene transitions: the land-ocean evidence. Geological Society (London), Special Publication, 247, 85-115	y	3	4							http://doi.pangaea.de/10.1594/PANGAEA.705195 OR 10.1594/PANGAEA.705195 OR doi:10.1594/PANGAEA.705195 -site:scientificcommons.org	0													
12	http://www.pangaea.de/search?count=1&minlat=&minlon=&maxlat=&maxlon=&mindate=&maxdate=&env=All&q=%40supplement+year:2005+citation:year:2005&offset=12	doi:10.1594/PANGAEA.706910		http://doi.pangaea.de/10.1594/PANGAEA.706910	Lorenz, Andrea (2005): Variability of benthic foraminifera north and south of the Denmark Strait. PhD Thesis, Mathematisch-Naturwissenschaftliche FakultÃ_t der Christian-Albrechts-UniversitÃ_t zu Kiel, 139 pp										http://doi.pangaea.de/10.1594/PANGAEA.706910 OR 10.1594/PANGAEA.706910 OR doi:10.1594/PANGAEA.706910 -site:scientificcommons.org	1	original dataset in pangaea												
13	http://www.pangaea.de/search?count=1&minlat=&minlon=&maxlat=&maxlon=&mindate=&maxdate=&env=All&q=%40supplement+year:2005+citation:year:2005&offset=13	doi:10.1594/PANGAEA.728135	32	http://doi.pangaea.de/10.1594/PANGAEA.728135	Siegenthaler, Urs; Monnin, Eric; Kawamura, Kenji; Spahni, Renato; Schwander, Jakob; Stauffer, Bernhard; Stocker, Thomas F; Barnola, Jean-Marc; Fischer, Hubertus (2005): Supporting evidence from the EPICA Dronning Maud Land ice core for atmospheric CO2 changes during the past millennium. Tellus B, 57(1), 51-57	y	1	32							http://doi.pangaea.de/10.1594/PANGAEA.728135 OR 10.1594/PANGAEA.728135 OR doi:10.1594/PANGAEA.728135 -site:scientificcommons.org	0													
14	http://www.pangaea.de/search?count=1&minlat=&minlon=&maxlat=&maxlon=&mindate=&maxdate=&env=All&q=%40supplement+year:2005+citation:year:2005&offset=14	doi:10.1594/PANGAEA.728454	10	http://doi.pangaea.de/10.1594/PANGAEA.728454	Andreev, Andrei A; Tarasov, Pavel E; Ilyashuk, Boris P; Ilyashuk, Elena A; Cremer, Holger; Hermichen, Wolf-Dieter; Wischer, Frank; Hubberten, Hans-Wolfgang (2005): Holocene environmental history recorded in Lake Lyadhej-To sediments, Polar Urals, Russia. Palaeogeography, Palaeoclimatology, Palaeoecology, 223(3-4), 181-203	y	1	10							http://doi.pangaea.de/10.1594/PANGAEA.728454 OR 10.1594/PANGAEA.728454 OR doi:10.1594/PANGAEA.728454 -site:scientificcommons.org	0													
15	http://www.pangaea.de/search?count=1&minlat=&minlon=&maxlat=&maxlon=&mindate=&maxdate=&env=All&q=%40supplement+year:2005+citation:year:2005&offset=15	doi:10.1594/PANGAEA.742767		http://doi.pangaea.de/10.1594/PANGAEA.742767	Shimkus, Kazimir M (2005): Processes of Sedimentation in the Mediterranean and Black Seas in the Late Cenozoic. Scientific World Publ. (Moscow); Lisitzin, A.P. and Emel'yanov, E.M. (Eds), 280 pp										http://doi.pangaea.de/10.1594/PANGAEA.742767 OR 10.1594/PANGAEA.742767 OR doi:10.1594/PANGAEA.742767 -site:scientificcommons.org	0													
16	http://www.pangaea.de/search?count=1&minlat=&minlon=&maxlat=&maxlon=&mindate=&maxdate=&env=All&q=%40supplement+year:2005+citation:year:2005&offset=16	http://doi.pangaea.de/10.1594/PANGAEA.728138	16	http://doi.pangaea.de/10.1594/PANGAEA.728138	Winkelmann, Daniel; Knies, Jochen (2005): Recent distribution and accumulation of organic carbon on the continental margin west off Spitsbergen. Geochemistry, Geophysics, Geosystems, 6(9), Q09012	y	4	16							http://doi.pangaea.de/10.1594/PANGAEA.728138 OR 10.1594/PANGAEA.728138 OR doi:10.1594/PANGAEA.728138 -site:scientificcommons.org	0													
17	http://www.pangaea.de/search?count=1&minlat=&minlon=&maxlat=&maxlon=&mindate=&maxdate=&env=All&q=%40supplement+year:2005+citation:year:2005&offset=17	http://doi.pangaea.de/10.1594/PANGAEA.670929	3	http://doi.pangaea.de/10.1594/PANGAEA.670929	Schwarz, Winfried H; Trieloff, Mario; Altherr, Rainer (2005): Subduction of solar-type noble gases from extraterrestrial dust: constraints from high-pressure low-temperature metamorphic deep-sea sediments. Contributions to Mineralogy and Petrology, 149, 675-684	y	1	3							http://doi.pangaea.de/10.1594/PANGAEA.670929 OR 10.1594/PANGAEA.670929 OR doi:10.1594/PANGAEA.670929 -site:scientificcommons.org	0													
18	http://www.pangaea.de/search?count=1&minlat=&minlon=&maxlat=&maxlon=&mindate=&maxdate=&env=All&q=%40supplement+year:2005+citation:year:2005&offset=18	http://doi.pangaea.de/10.1594/PANGAEA.708249	1	http://doi.pangaea.de/10.1594/PANGAEA.708249	Simstich, Johannes; Erlenkeuser, Helmut; Spielhagen, Robert F; Stanovoy, Vladimir V (2005): Modern and Holocene hydrographic characteristics of the shallow Kara Sea shelf (Siberia) as reflected by stable isotopes of bivalves and benthic foraminifera. Boreas, 34(3), 252-263	y	1	1							http://doi.pangaea.de/10.1594/PANGAEA.708249 OR 10.1594/PANGAEA.708249 OR doi:10.1594/PANGAEA.708249 -site:scientificcommons.org	0													
19	http://www.pangaea.de/search?count=1&minlat=&minlon=&maxlat=&maxlon=&mindate=&maxdate=&env=All&q=%40supplement+year:2005+citation:year:2005&offset=19	http://doi.pangaea.de/10.1594/PANGAEA.206394	6	http://doi.pangaea.de/10.1594/PANGAEA.206394	Niebuhr, Birgit (2005): Geochemistry and time-series analyses of orbitally forced Upper Cretaceous marl-limestone rhythmites (Lehrte West Syncline, northern Germany). Geological Magazine, 142(1), 31-55	y	1	6							http://doi.pangaea.de/10.1594/PANGAEA.206394 OR 10.1594/PANGAEA.206394 OR doi:10.1594/PANGAEA.206394 -site:scientificcommons.org	1	http://scholar.google.com/scholar?hl=en&q=http%3A%2F%2Fdoi.pangaea.de%2F10.1594%2FPANGAEA.206394+OR+10.1594%2FPANGAEA.206394+OR+doi%3A10.1594%2FPANGAEA.206394+-site%3Ascientificcommons.org&btnG=Search&as_sdt=0%2C48&as_ylo=&as_vis=0												
20	http://www.pangaea.de/search?count=1&minlat=&minlon=&maxlat=&maxlon=&mindate=&maxdate=&env=All&q=%40supplement+year:2005+citation:year:2005&offset=20	http://doi.pangaea.de/10.1594/PANGAEA.484677	50	http://doi.pangaea.de/10.1594/PANGAEA.484677	Bartoli, Gretta; Sarnthein, Michael; Weinelt, Mara; Erlenkeuser, Helmut; Garbe-SchÃ¶nberg, Dieter; Lea, David W (2005): Final closure of Panama and the onset of northern hemisphere glaciation. Earth and Planetary Science Letters, 237, 33-44	y	1	50							http://doi.pangaea.de/10.1594/PANGAEA.484677 OR 10.1594/PANGAEA.484677 OR doi:10.1594/PANGAEA.484677 -site:scientificcommons.org	1	http://scholar.google.com/scholar?hl=en&q=http%3A%2F%2Fdoi.pangaea.de%2F10.1594%2FPANGAEA.484677+OR+10.1594%2FPANGAEA.484677+OR+doi%3A10.1594%2FPANGAEA.484677+-site%3Ascientificcommons.org&btnG=Search&as_sdt=0%2C48&as_ylo=&as_vis=0												
21	http://www.pangaea.de/search?count=1&minlat=&minlon=&maxlat=&maxlon=&mindate=&maxdate=&env=All&q=%40supplement+year:2005+citation:year:2005&offset=21	http://doi.pangaea.de/10.1594/PANGAEA.688263	9	http://doi.pangaea.de/10.1594/PANGAEA.688263	Kouchinsky, Artem; Bengtson, Stefan; Pavlov, Vladimir; Runnegar, Bruce; Val'kov, Anatolij K; Young, Edward (2005): Pre-Tommotian age of the lower Pestrotsvet Formation in the Selinde section on the Siberian platform: carbon isotopic evidence. Geological Magazine, 142(4), 319-325	y	2	9			4	5	2	6/2/2011	http://doi.pangaea.de/10.1594/PANGAEA.688263 OR 10.1594/PANGAEA.688263 OR doi:10.1594/PANGAEA.688263 -site:scientificcommons.org	0													
22	http://www.pangaea.de/search?count=1&minlat=&minlon=&maxlat=&maxlon=&mindate=&maxdate=&env=All&q=%40supplement+year:2005+citation:year:2005&offset=22	http://doi.pangaea.de/10.1594/PANGAEA.700959	41	http://doi.pangaea.de/10.1594/PANGAEA.700959	Fantle, Matthew S; DePaolo, Donald J (2005): Variations in the marine Ca cycle over the past 20 million years. Earth and Planetary Science Letters, 237(1-2), 102-117	y	1	41							http://doi.pangaea.de/10.1594/PANGAEA.700959 OR 10.1594/PANGAEA.700959 OR doi:10.1594/PANGAEA.700959 -site:scientificcommons.org	0													
23	http://www.pangaea.de/search?count=1&minlat=&minlon=&maxlat=&maxlon=&mindate=&maxdate=&env=All&q=%40supplement+year:2005+citation:year:2005&offset=23	http://doi.pangaea.de/10.1594/PANGAEA.710774	30	http://doi.pangaea.de/10.1594/PANGAEA.710774	Milkov, Alexei V; Claypool, George E; Lee, Young-Joo; Sassen, Roger (2005): Gas hydrate systems at Hydrate Ridge offshore Oregon inferred from molecular and isotopic properties of hydrate-bound and void gases. Geochimica et Cosmochimica Acta, 69(4), 1007-1026	y	2	30							http://doi.pangaea.de/10.1594/PANGAEA.710774 OR 10.1594/PANGAEA.710774 OR doi:10.1594/PANGAEA.710774 -site:scientificcommons.org	0													
24	http://www.pangaea.de/search?count=1&minlat=&minlon=&maxlat=&maxlon=&mindate=&maxdate=&env=All&q=%40supplement+year:2005+citation:year:2005&offset=24	http://doi.pangaea.de/10.1594/PANGAEA.710788	9	http://doi.pangaea.de/10.1594/PANGAEA.710788	Chazey III, William J; Neal, Clive R (2005): Platinum group element constraints on source composition and magma evolution of the Kerguelen Plateau using basalts from ODP Leg 183. Geochimica et Cosmochimica Acta, 69(19), 4685-4701	y	1	9							http://doi.pangaea.de/10.1594/PANGAEA.710788 OR 10.1594/PANGAEA.710788 OR doi:10.1594/PANGAEA.710788 -site:scientificcommons.org	0													
25	http://www.pangaea.de/search?count=1&minlat=&minlon=&maxlat=&maxlon=&mindate=&maxdate=&env=All&q=%40supplement+year:2005+citation:year:2005&offset=25	http://doi.pangaea.de/10.1594/PANGAEA.710795	11	http://doi.pangaea.de/10.1594/PANGAEA.710795	Humphris, Susan E; Bach, Wolfgang (2005): On the Sr isotope and REE compositions of anhydrites from the TAG seafloor hydrothermal system. Geochimica et Cosmochimica Acta, 69(6), 1511-1525	y	1	11							http://doi.pangaea.de/10.1594/PANGAEA.710795 OR 10.1594/PANGAEA.710795 OR doi:10.1594/PANGAEA.710795 -site:scientificcommons.org	0													
26	http://www.pangaea.de/search?count=1&minlat=&minlon=&maxlat=&maxlon=&mindate=&maxdate=&env=All&q=%40supplement+year:2005+citation:year:2005&offset=26	http://doi.pangaea.de/10.1594/PANGAEA.711534	4	http://doi.pangaea.de/10.1594/PANGAEA.711534	Bahr, AndrÃ©; Wong, HK; Yim, WW-S; Huang, G; LÃ_dmann, Thomas; Chan, LS; Ridley Thomas, WN (2005): Stratigraphy of Quaternary inner-shelf sediments in Tai O Bay, Hong Kong, based on ground-truthed seismic profiles. Geo-Marine Letters, 25(1), 20-33	y	1	4							http://doi.pangaea.de/10.1594/PANGAEA.711534 OR 10.1594/PANGAEA.711534 OR doi:10.1594/PANGAEA.711534 -site:scientificcommons.org	0													
27	http://www.pangaea.de/search?count=1&minlat=&minlon=&maxlat=&maxlon=&mindate=&maxdate=&env=All&q=%40supplement+year:2005+citation:year:2005&offset=27	http://doi.pangaea.de/10.1594/PANGAEA.712921	30	http://doi.pangaea.de/10.1594/PANGAEA.712921	HÃ¶nisch, BÃ_rbel; Hemming, N Gary (2005): Surface ocean pH response to variations in pCO2 through two full glacial cycles. Earth and Planetary Science Letters, 236(1-2), 305-314	y	2	30							http://doi.pangaea.de/10.1594/PANGAEA.712921 OR 10.1594/PANGAEA.712921 OR doi:10.1594/PANGAEA.712921 -site:scientificcommons.org	0													
28	http://www.pangaea.de/search?count=1&minlat=&minlon=&maxlat=&maxlon=&mindate=&maxdate=&env=All&q=%40supplement+year:2005+citation:year:2005&offset=28	http://doi.pangaea.de/10.1594/PANGAEA.712938	38	http://doi.pangaea.de/10.1594/PANGAEA.712938	Marchitto, Thomas M; Lynch-Stieglitz, Jean; Hemming, Sidney R (2005): Deep Pacific CaCO3 compensation and glacial-interglacial atmospheric CO2. Earth and Planetary Science Letters, 231(3-4), 317-336	y	1	38							http://doi.pangaea.de/10.1594/PANGAEA.712938 OR 10.1594/PANGAEA.712938 OR doi:10.1594/PANGAEA.712938 -site:scientificcommons.org	0													
29	http://www.pangaea.de/search?count=1&minlat=&minlon=&maxlat=&maxlon=&mindate=&maxdate=&env=All&q=%40supplement+year:2005+citation:year:2005&offset=29	http://doi.pangaea.de/10.1594/PANGAEA.713701	20	http://doi.pangaea.de/10.1594/PANGAEA.713701	Oppo, Delia W; Sun, Youbin (2005): Amplitude and timing of sea-surface temperature change in the northern South China Sea: Dynamic link to the East Asian monsoon. Geology, 33(10), 785-788	y	1	20							http://doi.pangaea.de/10.1594/PANGAEA.713701 OR 10.1594/PANGAEA.713701 OR doi:10.1594/PANGAEA.713701 -site:scientificcommons.org	0													
30	http://www.pangaea.de/search?count=1&minlat=&minlon=&maxlat=&maxlon=&mindate=&maxdate=&env=All&q=%40supplement+year:2005+citation:year:2005&offset=30	http://doi.pangaea.de/10.1594/PANGAEA.720961	19	http://doi.pangaea.de/10.1594/PANGAEA.720961	Pekar, Stephen F; Hucks, Audrey; Fuller, Michael D; Li, Shawna (2005): Glacioeustatic changes in the early and middle Eocene (51-42 Ma): Shallow-water stratigraphy from ODP Leg 189 Site 1171 (South Tasman Rise) and deep-sea d18O records. Geological Society of America Bulletin, 117(7-8), 1081-1093	y	1	19							http://doi.pangaea.de/10.1594/PANGAEA.720961 OR 10.1594/PANGAEA.720961 OR doi:10.1594/PANGAEA.720961 -site:scientificcommons.org	0													
31	http://www.pangaea.de/search?count=1&minlat=&minlon=&maxlat=&maxlon=&mindate=&maxdate=&env=All&q=%40supplement+year:2005+citation:year:2005&offset=31	http://doi.pangaea.de/10.1594/PANGAEA.721804	14	http://doi.pangaea.de/10.1594/PANGAEA.721804	Cannariato, Kevin G; Kennett, James P (2005): Structure of the penultimate deglaciation along the California margin and implications for Milankovitch theory. Geology, 33(2), 157-160	y	1	14			21	0	0	6/2/2011	http://doi.pangaea.de/10.1594/PANGAEA.721804 OR 10.1594/PANGAEA.721804 OR doi:10.1594/PANGAEA.721804 -site:scientificcommons.org	0													
32	http://www.pangaea.de/search?count=1&minlat=&minlon=&maxlat=&maxlon=&mindate=&maxdate=&env=All&q=%40supplement+year:2005+citation:year:2005&offset=32	http://doi.pangaea.de/10.1594/PANGAEA.722622	23	http://doi.pangaea.de/10.1594/PANGAEA.722622	Mahoney, John J; Duncan, Robert A; Tejada, MLG; Sager, William W; Bralower, Timothy J (2005): Jurassic-Cretaceous boundary age and mid-ocean-ridge-type mantle source for Shatsky Rise. Geology, 33(3), 185-188	y	1	23							http://doi.pangaea.de/10.1594/PANGAEA.722622 OR 10.1594/PANGAEA.722622 OR doi:10.1594/PANGAEA.722622 -site:scientificcommons.org	0													
33	http://www.pangaea.de/search?count=1&minlat=&minlon=&maxlat=&maxlon=&mindate=&maxdate=&env=All&q=%40supplement+year:2005+citation:year:2005&offset=33	http://doi.pangaea.de/10.1594/PANGAEA.727523	31	http://doi.pangaea.de/10.1594/PANGAEA.727523	Elvert, Marcus; Hopmans, Ellen C; Treude, Tina; Boetius, Antje; Suess, Erwin (2005): Spatial variations of methanotrophic consortia at cold methane seeps: Implications from a high-resolution molecular and isotopic approach. Geobiology, 3(3), 195-209	y	1	31							http://doi.pangaea.de/10.1594/PANGAEA.727523 OR 10.1594/PANGAEA.727523 OR doi:10.1594/PANGAEA.727523 -site:scientificcommons.org	0													
34	http://www.pangaea.de/search?count=1&minlat=&minlon=&maxlat=&maxlon=&mindate=&maxdate=&env=All&q=%40supplement+year:2005+citation:year:2005&offset=34	http://doi.pangaea.de/10.1594/PANGAEA.728219	15	http://doi.pangaea.de/10.1594/PANGAEA.728219	Damm, Ellen; Mackensen, Andreas; BudÃ©us, Gereon; Faber, Eckhard; Hanfland, Claudia (2005): Pathways of methane in seawater: Plume spreading in an Arctic shelf environment (SW-Spitsbergen). Continental Shelf Research, 25(12-13), 1453-1472	y	2	15							http://doi.pangaea.de/10.1594/PANGAEA.728219 OR 10.1594/PANGAEA.728219 OR doi:10.1594/PANGAEA.728219 -site:scientificcommons.org	0													
35	http://www.pangaea.de/search?count=1&minlat=&minlon=&maxlat=&maxlon=&mindate=&maxdate=&env=All&q=%40supplement+year:2005+citation:year:2005&offset=35	http://doi.pangaea.de/10.1594/PANGAEA.230042	9	http://doi.pangaea.de/10.1594/PANGAEA.230042	Geibert, Walter; Rutgers van der Loeff, Michiel M; Usbeck, Regina; Gersonde, Rainer; Kuhn, Gerhard; Seeberg-Elverfeldt, Jens (2005): Quantifying the opal belt in the Atlantic and southeast Pacific sector of the Southern Ocean by means of 230Th normalization. Global Biogeochemical Cycles, 19, 13 pp	y	3	9							http://doi.pangaea.de/10.1594/PANGAEA.230042 OR 10.1594/PANGAEA.230042 OR doi:10.1594/PANGAEA.230042 -site:scientificcommons.org	2 (1 is a summary of the data set)	http://scholar.google.com/scholar?hl=en&q=http%3A%2F%2Fdoi.pangaea.de%2F10.1594%2FPANGAEA.230042+OR+10.1594%2FPANGAEA.230042+OR+doi%3A10.1594%2FPANGAEA.230042+-site%3Ascientificcommons.org&btnG=Search&as_sdt=0%2C48&as_ylo=&as_vis=0												
36	http://www.pangaea.de/search?count=1&minlat=&minlon=&maxlat=&maxlon=&mindate=&maxdate=&env=All&q=%40supplement+year:2005+citation:year:2005&offset=36	http://doi.pangaea.de/10.1594/PANGAEA.672035	37	http://doi.pangaea.de/10.1594/PANGAEA.672035	Haberzettl, Torsten; Fey, Michael; LÃ_cke, Andreas; Maidana, Nora; Mayr, Christoph; Ohlendorf, Christian; SchÃ_bitz, Frank; Schleser, Gerhard Hans; Wille, Michael; Zolitschka, Bernd (2005): Climatically induced lake level changes during the last two millennia as reflected in sediments of Laguna Potrok Aike, southern Patagonia (Santa Cruz, Argentina). Journal of Paleolimnology, 33(3), 283-302	y	1	37							http://doi.pangaea.de/10.1594/PANGAEA.672035 OR 10.1594/PANGAEA.672035 OR doi:10.1594/PANGAEA.672035 -site:scientificcommons.org	0													
